date, pm25, pm10, o3, no2, so2, co
2019/6/18, 46, 21, , , , 
2019/6/19, 45, 49, , , , 
2019/6/20, 50, 35, , , , 
2019/6/21, 61, 24, , , , 
2019/6/22, 42, 23, , , , 
2019/6/23, 40, 19, , , , 
2019/6/24, 36, 19, , , , 
2019/6/25, 34, 17, , , , 
2019/6/26, 30, 23, , , , 
2019/6/27, 33, 27, , , , 
2019/6/28, 40, 5, , , , 
2019/6/29, 34, 19, , , , 
2019/6/30, 20, 23, , , , 
2019/7/1, 33, 39, , , , 
2019/1/2, 32, 24, , , , 
2019/1/3, 40, 26, , , , 
2019/1/4, 33, 35, , , , 
2019/1/5, 44, 35, , , , 
2019/1/6, 45, 28, , , , 
2019/1/7, 47, 14, , , , 
2019/1/8, 29, 17, , , , 
2019/1/9, 13, 14, , , , 
2019/1/10, 17, 20, , , , 
2019/1/11, 32, 33, , , , 
2019/1/12, 47, 26, , , , 
2019/1/13, 42, 26, , , , 
2019/1/14, 38, 26, , , , 
2019/1/15, 32, 29, , , , 
2019/1/16, 34, 22, , , , 
2019/1/17, 23, 36, , , , 
2019/1/18, 35, 47, , , , 
2019/1/19, 51, 43, , , , 
2019/1/20, 53, 15, , , , 
2019/1/21, 40, 30, , , , 
2019/1/22, 35, 34, , , , 
2019/1/23, 48, 46, , , , 
2019/1/24, 61, 48, , , , 
2019/1/25, 73, 31, , , , 
2019/1/26, 58, 41, , , , 
2019/1/27, 50, 33, , , , 
2019/1/28, 48, 40, , , , 
2019/1/29, 49, 40, , , , 
2019/1/30, 44, 34, , , , 
2019/1/31, 40, 47, , , , 
2019/2/1, 49, 44, , , , 
2019/2/2, 58, 55, , , , 
2019/2/3, 60, 33, , , , 
2019/2/4, 56, 14, , , , 
2019/2/5, 32, 36, , , , 
2019/2/6, 33, 45, , , , 
2019/2/7, 52, 44, , , , 
2019/2/8, 51, 49, , , , 
2019/2/9, 50, 47, , , , 
2019/2/10, 49, 30, , , , 
2019/2/11, 43, 44, , , , 
2019/2/12, 34, 65, , , , 
2019/2/13, 34, 39, , , , 
2019/2/14, 48, 133, , , , 
2019/2/15, 77, 95, , , , 
2019/2/16, 162, 28, , , , 
2019/2/17, 63, 26, , , , 
2019/2/18, 33, 28, , , , 
2019/2/19, 37, 25, , , , 
2019/2/20, 28, 15, , , , 
2019/2/21, 23, 8, , , , 
2019/2/22, 19, 11, , , , 
2019/2/23, 19, 23, , , , 
2019/2/24, 21, 28, , , , 
2019/2/25, 29, 34, , , , 
2019/2/26, 30, 48, , , , 
2019/2/27, 41, 38, , , , 
2019/2/28, 47, 41, , , , 
2019/3/1, 35, 30, , , , 
2019/3/2, 38, 42, , , , 
2019/3/3, 36, 31, , , , 
2019/3/4, 32, 29, , , , 
2019/3/5, 26, 46, , , , 
2019/3/6, 32, 29, , , , 
2019/3/7, 31, 24, , , , 
2019/3/8, 17, 36, , , , 
2019/3/9, 23, 37, , , , 
2019/3/10, 32, 29, , , , 
2019/3/11, 30, 31, , , , 
2019/3/12, 35, 37, , , , 
2019/3/13, 49, 38, , , , 
2019/3/14, 45, 39, , , , 
2019/3/15, 41, 49, , , , 
2019/3/16, 44, 40, , , , 
2019/3/17, 43, 24, , , , 
2019/3/18, 33, 42, , , , 
2019/3/19, 32, 45, , , , 
