date, pm25, pm10, o3, no2, so2, co
2015/6/7, 26, 28, , 5, 3, 14
2015/6/8, 42, 22, , 10, 11, 14
2015/6/9, 52, 26, , 15, 9, 19
2015/6/10, 64, 64, , 16, 4, 32
2015/6/11, 152, 67, , 12, 3, 29
2015/6/12, 157, 59, , 15, 7, 21
2015/6/13, 95, 56, , 10, 6, 19
2015/6/14, 116, 25, , 7, 8, 17
2015/6/15, 53, 60, , 13, 5, 29
2015/6/16, 140, 52, , 17, 8, 25
2015/6/17, 77, 79, , 14, 4, 31
2015/6/18, 165, 38, , 12, 3, 15
2015/6/19, 74, 76, , 16, 9, 28
2015/6/20, 140, 50, , 9, 4, 15
2015/6/21, 82, 34, , 8, 4, 14
2015/6/22, 62, 34, , 13, 6, 16
2015/6/23, 55, 62, , 10, 8, 20
2015/6/24, 119, 43, , 5, 4, 17
2015/6/25, 81, 24, , 7, 8, 14
2015/6/26, 55, 33, , 9, 4, 21
2015/6/27, 76, 44, , 8, 5, 25
2015/6/28, 62, 54, , 7, 6, 20
2015/6/29, 66, , , , , 
2015/7/1, 78, 53, , 10, 4, 19
2015/1/2, 54, 46, , 3, 10, 20
2015/1/3, 56, 43, , 4, 8, 25
2015/1/4, 55, , , , , 
2015/1/6, 41, 39, , 4, 16, 22
2015/1/7, 51, 66, , 5, 6, 22
2015/1/8, 74, 60, , 5, 28, 26
2015/1/9, 73, 61, , 5, 11, 25
2015/1/10, 72, 57, , 3, 15, 26
2015/1/11, 61, 66, , 3, 15, 31
2015/1/12, 64, 73, , 3, 11, 41
2015/1/13, 72, 75, , 3, 6, 22
2015/1/14, 78, 52, , 5, 15, 24
2015/1/15, 63, 58, , 7, 10, 25
2015/1/16, 76, 54, , 5, 7, 19
2015/1/17, 72, 52, , 4, 7, 22
2015/1/18, 70, 34, , 4, 11, 20
2015/1/19, 56, 30, , 4, 6, 20
2015/1/20, 53, 31, , 6, 8, 19
2015/1/21, 56, 24, , 4, 4, 17
2015/1/22, 40, 42, , 4, 21, 17
2015/1/23, 53, 53, , 4, 19, 18
2015/1/24, 63, 51, , 3, 21, 20
2015/1/25, 69, 39, , 2, 14, 21
2015/1/26, 59, 38, , 3, 27, 28
2015/1/27, 53, 55, , 3, 31, 27
2015/1/28, 59, 71, , 4, 14, 25
