date, pm25, pm10, o3, no2, so2, co
2016/5/12, 145, 65, 6, 23, , 25
2016/5/13, 101, 80, 6, 33, , 27
2016/5/14, 124, 87, 10, 22, , 31
2016/5/15, 156, 51, 14, 18, , 18
2016/5/16, 113, 69, 16, 26, , 27
2016/5/17, 127, 55, 14, 16, , 12
2016/5/18, 106, 46, 7, 13, , 12
2016/5/19, 88, 58, 8, 22, , 18
2016/5/20, 116, 69, 11, 18, , 22
2016/5/21, 141, 46, 14, 13, , 14
2016/5/22, 81, 66, 16, 26, , 32
2016/5/23, 128, 72, 14, 36, , 31
2016/5/24, 130, 85, 7, 43, , 31
2016/5/25, 133, 85, 11, 36, , 30
2016/5/26, 154, 77, 7, 36, , 27
2016/5/27, 141, 73, 11, 33, , 18
2016/5/28, 154, 64, 7, 26, , 17
2016/5/29, 155, 56, 7, 20, , 14
2016/5/30, 156, 31, 9, 22, , 13
2016/5/31, 93, 40, 11, 20, , 13
2016/6/1, 73, 49, 12, 24, , 15
2016/6/2, 74, 65, 5, 31, , 22
2016/6/3, 100, 40, 3, 25, , 15
2016/6/4, 81, 28, 15, 18, , 13
2016/6/5, 69, 47, 18, 17, , 18
2016/6/6, 84, 62, 11, 28, , 23
2016/6/7, 107, 82, 10, 38, , 22
2016/6/8, 148, 90, 9, 46, , 
2016/6/9, 156, 100, 7, 49, , 49
2016/6/10, 153, 102, 10, 47, , 27
2016/6/11, 161, 93, 11, 44, , 28
2016/6/12, 163, 84, 8, 39, , 24
2016/6/13, 165, 60, 5, 26, , 8
2016/6/14, 125, 70, 6, 29, , 8
2016/6/15, 122, 83, 9, 38, , 20
2016/6/16, 165, 82, 9, 48, , 15
2016/6/17, 161, 91, 9, 55, , 23
2016/6/18, 162, 105, 13, 56, , 35
2016/6/19, 168, 149, 20, 32, , 68
2016/6/20, 220, 69, 8, 32, , 12
2016/6/21, 166, 85, 8, 47, , 22
2016/6/22, 163, 94, 11, 56, , 24
2016/6/23, 162, 104, 9, 50, , 25
2016/6/24, 171, 69, 7, 28, , 10
2016/6/25, 149, 90, 12, 38, , 26
2016/6/26, 163, 90, 17, 35, , 26
2016/6/27, 169, 97, 19, 34, , 32
2016/6/28, 189, 71, 7, 50, , 17
2016/6/29, 154, 59, 7, 26, , 3
2016/6/30, 111, 73, 5, 38, , 6
2016/7/1, 143, 100, 6, 49, , 17
2016/1/6, 61, 61, 28, 14, , 4
2016/1/7, 70, 47, 27, 7, , 2
2016/1/8, 57, 38, 21, 3, , 1
2016/1/9, 50, 38, 23, 2, , 
2016/1/10, 45, 39, 31, 4, , 1
2016/1/11, 41, 42, 29, 1, , 
2016/1/12, 41, 38, 19, 4, , 
2016/1/13, 36, 43, 29, 3, , 
2016/1/14, 45, 50, 38, 8, , 
2016/1/15, 58, 46, 25, 3, , 
2016/1/16, 54, 56, 35, 8, , 
2016/1/17, 73, 48, 40, 7, , 
2016/1/18, 56, 57, 44, 6, , 
2016/1/19, 73, 56, 29, 13, , 
2016/1/20, 63, 55, 34, 11, , 6
2016/1/21, 64, 56, 36, 13, , 3
2016/1/22, 56, 52, 25, 10, , 3
2016/1/23, 56, 47, 31, 12, , 4
2016/1/24, 56, 29, 23, 8, , 4
2016/1/25, 39, 35, 28, 7, , 3
2016/1/26, 36, 36, 19, 19, , 4
2016/1/27, 47, 41, 29, 12, , 4
2016/1/28, 37, 45, 25, 16, , 5
2016/1/29, 51, 41, 39, 13, , 3
2016/1/30, 42, 49, 23, 13, , 4
2016/1/31, 55, 47, 44, 15, , 5
2016/2/1, 54, 52, 30, 11, , 4
2016/2/2, 57, 52, 26, 10, , 4
2016/2/3, 68, 56, 21, 10, , 4
2016/2/4, 82, 48, 33, 13, , 4
2016/2/5, 70, 47, 24, 10, , 4
2016/2/6, 57, 51, 34, 13, , 3
2016/2/7, 57, 44, 31, 13, , 3
2016/2/8, 52, 54, 26, 8, , 2
2016/2/9, 54, 64, 29, 12, , 3
2016/2/10, 71, 57, 39, 17, , 5
2016/2/11, 65, 52, 29, 17, , 3
2016/2/12, 58, 50, 33, 21, , 3
2016/2/13, 57, 52, 27, 15, , 2
2016/2/14, 51, 47, 41, 14, , 3
2016/2/15, 53, 59, 42, 16, , 3
2016/2/16, 54, 53, 47, 22, , 4
2016/2/17, 54, 53, 25, 16, , 2
2016/2/18, 51, 53, 36, 17, , 3
2016/2/19, 52, 58, 31, 18, , 3
2016/2/20, 50, 62, 44, 20, , 4
2016/2/21, 57, 61, 50, 21, , 5
2016/2/22, 58, 59, 38, 18, , 4
2016/2/23, 54, 71, 37, 16, , 3
2016/2/24, 64, 73, 40, 22, , 5
2016/2/25, 70, 66, 44, 24, , 5
2016/2/26, 69, 59, 35, 20, , 4
2016/2/27, 55, 60, 32, 19, , 3
2016/2/28, 60, 58, 43, 21, , 5
2016/2/29, 60, 68, 50, 20, , 5
2016/3/1, 56, 86, 37, 21, , 5
2016/3/2, 81, 83, 55, 27, , 7
2016/3/3, 88, 69, 57, 27, , 6
2016/3/4, 72, 72, 32, 22, , 5
2016/3/5, 73, 63, 51, 23, , 7
2016/3/6, 77, 48, 37, 16, , 5
2016/3/7, 68, 44, 23, 8, , 3
